職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
10R0-大數據中心 系統工程師,中國醫藥大學附設醫院,系統分析師、Internet程式設計師,40000.0,台中市北區育德路2號,"1.醫療系統應用與開發，包含去識別化、資料標註、特徵生成、分析成效驗證、文本大數據分析等等。
2.支援人工智慧應用技術產品化歷程發展，包含運算平台模組架構、框架規範、資料介面、部署設計等執行協助。
3.具有資料庫建置,管理,維護經驗。
4.具有Restful API和Python web框架(Flask, Django) 開發經驗
5.熟悉以下語言(一項或多項)：有物件導向觀念，並且熟悉Java或Python程式開發，具雲端架構,平行運算或大數據分析架構有實務經驗尤佳
6.擁有MLOps經驗尤佳
7.對於學習新技術具有熱情，具備良好的溝通及團隊合作能力","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python,文書處理軟體操作,"1.熟悉Linux開發環境。
2.熟悉Git開發。
3.具有良好的溝通能力，且能持續增進工作技能。",https://www.104.com.tw/job/7ancv?jobsource=index_s
大數據工程師,華凌光電股份有限公司,資料工程師、數據分析師、統計學研究員,40000.0,台中市大雅區科雅路31號5樓(請由科雅五路之中科第一期標準廠房入口換證進入),"1. 訓練與建置統計模型於實際解決方案, 專案規劃為使用者設計功能, 開發部署與維護
2. 研究探索與實作機器學習技術發展以及應用範圍
3. 能跨部門進行團隊合作, 樂於溝通, 分析問題與找出可執行方案
4. 特徵工程，程式開發及測試，建立開發文件或技術文件，能進行教育訓練
5. 部門工作支援，主管交辦事項",不拘,Python,不拘,"1.具有商業分析或製程分析經驗
2.有部署模型至專案經驗
3.具有以程式進行模擬分析能力
4.程式語言：Python, R, 資料庫相關 (SQL,...)",https://www.104.com.tw/job/8attn?jobsource=index_s
資料工程師/Data Engineer,艾捷科技有限公司,資料工程師、資料科學家、數據分析師,47500.0,台中市南屯區大墩十街300號 (距捷運文心森林公園站約330公尺),"1.需求分析及規劃資料萃取、資料轉置、資料清理 
2.建立data pipeline及資料品質之監控管理機制 
3.優化資料庫效能與調整架構 
4.雲端儲存設備、雲端資料庫及分析系統建置與基本維護
5.其他主管交辦事項",不拘,Java、Python、MySQL,不拘,"1. 具備JAVA或Python開發經驗
2. 具備關聯式資料庫建模與資料處理經驗(ex. MySQL,PostgreSQL等)
3. 具備ETL服務、Data Pipeline建置經驗
4. 熟悉SQL DDL,DML語法",https://www.104.com.tw/job/88w4t?jobsource=index_s
【大數據分析工程師】分析萬事萬物！加入台中矽谷,皮克網路有限公司,市場調查／市場分析、演算法工程師、統計精算人員,43500.0,台中市豐原區,"1.具備資料庫結構(MySQL)與擷取資料探勘
2.熟悉大數據處理相關技術與統計之資料探勘相關實務經驗。
3.熟網路社群分析，發掘消費者行為模式與偏好，據此建立分類、群集、關聯、時序及預測模型，解讀分析的結果、並提出行銷策略規劃、應用執行方案與行銷決策建議。
4.分析消費者行為、社群行銷、電子商務.. 等領域
5.從大量資料產出資料模型、數據分析報表、建議報告 
6.對資料或資料結構具備高度敏感性",不拘,不拘,不拘,"※ 良好溝通協調能力，善於溝通 
※ 思考清晰、具備數據整理能力、統計分析能力",https://www.104.com.tw/job/5a5et?jobsource=index_s
【數位技術】CIM智慧系統開發工程師-台中廠-R08,友達光電股份有限公司,MES工程師、數據分析師、AI工程師,40000.0,台中市西屯區中科路1號,"在友達，CIM工程師負責設計、開發和維護製造執行系統，工作任務包括系統開發、問題解決、系統優化和技術支持。CIM工程師的貢獻對友達至關重要，CIM工程師讓公司生產過程得以順利運作，並提高生產效率、減少成本。

我們正在找尋樂於透過數據分析與機器學習，優化CIM系統的夥伴加入我們！

【工作內容】
1. 開發CIM系統應用軟體，包括機器介面、數據管理和報告功能。例如：ETL/BC/Report等
2. 將現有CIM系統的改進和維護，解決系統錯誤和故障。
3. 與需求單位合作，了解業務需求，並根據需求設計和實施新的CIM系統功能。
4. 針對智能化專案進行規劃，並協調、整合相關單位資源，以確保智能化專案落地

【工作條件】
1. 具備 Linux 作業系統使用經驗
2. 具備 Python, Javaj, Node.JS, JavaScript 或 PHP等程式開發經驗
3. 具備叢集管理、容器化經驗
4. 具備資料探勘、統計分析、機器學習等相關經驗佳",不拘,不拘,不拘, ,https://www.104.com.tw/job/88xkh?jobsource=index_s
集團 iWOW 數據工程師,捷安特 YouBike_巨大機械工業股份有限公司,機械工程師、機電技師／工程師、自動控制工程師,40000.0,台中市西屯區東大路一段999號,"本職務隸屬於尖端技術開發部門, 負責新材料、新技術及新工法的研發, 進行測試與實作; 
隨著工業4.0的引進, 我們的部門也肩負起製造技術轉型的重任, 研發自行車生產智能化自動控制的設備, 研發範圍包括:

【主要工作內容】
1. 資料庫應用與使用規劃評估：負責評估並規劃資料庫應用，建立 Data warehouse。
2. 數據處理：建立 ETL 流程及數據清理流程。
3. 專案管理：管理資料庫相關專案，確保開發項目項目按時完成。
4. 專案協作：參與機器學習或數據處理專案，包括數據清理、模型訓練和評估。

【協作內容，參與以下項目】

1.  AI 相關技術概念可行性評估與驗證：研究並評估新興的 AI 技術，並驗證其在實際場域中的可行性。
2. 模型建立與分析：設計、實現並分析機器學習模型，並根據結果提出改進建議。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python、MS SQL,不拘,"1. 對於運動科技或運動科學有高度興趣或具備運動科學相關知識，目標專精自行車運動技術領域。
2. 具獨立研究、驗證概念的能力，並能自主學習與閱讀論文，願意接受專案實作的培育。
3. 歡迎跨域人才，具備運動科學、物理治療、財務金融或機電訊號處理相關經驗者佳。
4. 熟悉 MongoDB 及 AWS 相關應用。
5. 非熟悉資料庫人員但具備機器學習相關技能也歡迎投遞履歷。",https://www.104.com.tw/job/74bkg?jobsource=index_s
10R0-大數據中心 演算法工程師,中國醫藥大學附設醫院,其他資訊專業人員、演算法工程師,40000.0,台中市北區育德路2號,"1.有能力建構數據分析環境, 並依據數據以及目標，建立完整分析流程，並視情況調整架構以及優化模型
2.能針對自己的演算法明確的產出研究報告以及成效評估
3.針對2D和3D影像擁有實務經驗尤佳
4.熟悉以下語言(一項或多項)：熟悉Python程式開發，具機器學習(Reinforcement learning、Machine Learning、Deep Learning、NLP、Computer Vision)或資料探勘實務經驗尤佳
5.對醫療資料分析有熱情，具備以多種視角觀看資料之能力
6.對於學習新技術具有熱情，具備良好的溝通及團隊合作能力","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python,文書處理軟體操作,"1.具備深度學習相關框架(Tensorflow, Theano, Keras等)經驗。
2.熟悉Linux開發環境。
3.熟悉OpenCV技術。
4.具有良好的溝通能力，且能持續增進工作技能。",https://www.104.com.tw/job/7ancr?jobsource=index_s
數據資料分析助理專員,長佳智能股份有限公司,數據分析師、資料工程師,40000.0,台中市西區台灣大道二段573號8樓,"1.文獻蒐集及統整
2.資料分析彙整及管理
3.規劃驗證：樣本數計算、驗證方法及流程設計、計畫擬訂
4.執行驗證：統計分析、統整分析結果、資料視覺化、分析報告撰寫
5.其他主管交辦事項。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python、R、Excel、Word,資料庫系統管理維護、資料庫軟體應用,"1.熟悉Python或R等分析軟體，且具備資料分析能力者
2.具備良好英文閱讀及撰寫能力
3.善於跨部門溝通，並與同仁維持友好且長期的合作關係
4.細心、思緒清晰且清楚，善於資訊整合
5.具備醫療器材品質管理系統稽核或醫療器材認證申請 (TFDA, FDA 510(k), CE mark) 經驗者佳
6.具備醫療AI或軟體相關知識背景佳",https://www.104.com.tw/job/864e7?jobsource=index_s
資訊安全處-Oracle資料庫管理師,橋椿金屬股份有限公司,資料工程師、資料庫管理人員,40000.0,台中市大雅區科雅路11號,"1.Oracle ERP權限管理
2.Oracle ERP日常維護及故障排除
3.Oracle DB日常維護及管理","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Linux、UNIX、Oracle、Excel、Outlook,資料庫系統管理維護、資料庫軟體應用,"1.資料庫管理、網路管理等相關工作經驗 1年以上
2.良好的溝通能力、抗壓性
3.台語可聽、說",https://www.104.com.tw/job/8cncr?jobsource=index_s
數據工程師(碩士),弈樂科技股份有限公司,統計精算人員、軟體工程師、其他資訊專業人員,56500.0,台中市西屯區安和東路3號6樓,"***應徵時請附上作品集、文案、自傳、證照等加分文件*** 
1. 需求分析及規劃資料萃取、資料轉置、資料清理 
2. 數據分析、資訊視覺化、說明分析結果、提出建議及後續成效評估
3. 雲端儲存設備、雲端資料庫及分析系統建置與基本維護

※工作待遇依個人經歷及專長等條件參考核定，如相關經歷豐富可議更優渥薪資，歡迎能力優秀的您應徵面談","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",Python、R、MySQL、Excel、PowerPoint,軟體程式設計、Machine Learning、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,"若是有以下經驗能力者，歡迎您在履歷中、或面試時展現

1. 具有資料圖表開發能力(至少具備一項)
A. Tableau
B. PowerBi
C. Jupyter Notebook
D. Google Data Studio
E. R
F. SAS
G. 其他圖表儀表板開發語言或工具

2. 具撰寫腳本程式，及使用其他類型資料庫，穩定產出數據能力
A. Shell Script
B. Mongo DB/Hadoop 等
C. GCP 雲端平台使用經驗

3. 有統計分析或大數據資料、人工智慧等比賽經驗。(請附上比賽日期、比賽名稱或自定義主題名稱及比賽結果)

履歷加分條件:
1. 在學期間成績單 (大學以上) 
2. 大學專題、碩士論文、已發表的期刊或會議論文 
3. 應試者自行準備的分析報告 (主題不拘，紙本或應試當日簡報皆可) 
4. 比賽經驗與Web筆記分享(e.g. Kaggle kernel)等",https://www.104.com.tw/job/7n8pg?jobsource=index_s
