職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
倉庫主管,艾鉅有限公司,倉管、資材主管、物管／資材,50000,南投縣草屯鎮富頂路一段446號,"有倉庫課級主管一年以上資歷，具專案改善經驗者佳

1.物料收發料統管，確保相關數據的正確性，並針對異常進行處理、提出改善對策
2.盤點事項的主導、流程安排、工作分配
3.部門6S管理、稽查、執行
4.倉庫改善專案執行，及追蹤進度
5.作業稽查評核與人員教育訓練

* 將依據過往工作經驗及年資，面談時將核定工程師、主任、課長等職級",不拘,不拘,不拘,未填寫,https://www.104.com.tw/job/7xhjc?jobsource=index_s
【線上面試】AI演算法開發工程師,環鴻科技股份有限公司,軟體工程師、演算法工程師、資料工程師,40000,南投縣南投市,"【工作內容】
1. 瑕疵檢測演算法開發
2. 資料探勘開發
3. 系統程式整合與開發

【加分項目】
1. 熟悉python語言與開發
2. 熟悉影像深度學習演算法
3. 具備tensorflow, keras, pytorch使用經驗一年以上
4. 有製造業經驗或對生產製造流程熟習者佳
5. 資工/資管相關科系

【職缺投遞】https://usiglobal.freshteam.com/jobs","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"【加分項目】
1. 熟悉python語言與開發
2. 熟悉影像深度學習演算法
3. 具備tensorflow, keras, pytorch使用經驗一年以上
4. 有製造業經驗或對生產製造流程熟習者佳
5. 資工/資管相關科系",https://www.104.com.tw/job/81lr1?jobsource=index_s
品管工程師,艾斯特科技有限公司,品管／品保工程師、品管／品保主管,75000,南投縣南投市自強三路五號,"品管／品保工程師
1. 建立與監控代工金屬材料/工程材料生產標準，審查初級產品的樣品並進行測試，以確保成品具備應有的品質。
2. 開發及實施產品追蹤和品管系統，分析生產、品管、維護和其他操作報告，以檢視生產問題。
3. 執行公司代工件加工品品質檢驗，分析問題，以找出造成產品可靠度問題的關鍵因素。
5. 提供客戶或公司內部員工可靠度工程資料。
6. 建立工作經驗的知識庫（包含作業流程、構想、概念等），以避免問題重複發生。
7. 開發新產品或新的應用功能，以增加公司收益和產品價值。
8. 開發預算及批准供應、材料和人力資源的開支，以確保材料、勞力和設備有效地使用。

品管／品保主管
1. 負責公司品管體系的建立，對出現的各種質量問題進行跟蹤處理。
2. 改善產品信賴度、可靠性、品質，進而全面提升產品品質。
3. 負責ISO體制之推行、供應商IQC管理，以及製品IPQC及OQC管理。
4. 推行並落實QA管理制度，以及規劃品質系統相關之教育訓練。
5. 主導內部稽核活動及外部認證，監督及管理TQM執行成效。
6. 負責產品檢驗規劃之制定，以及產品功能之測試與驗證。
7. 解析競爭產品之品質規格，以改進品質，降低品質成本之損失。
8. 導入新產品，並處理製程品管問題。
9. 負責文件管理中心之建立與維護，及客戶服務的品保程序之規劃。品管／檢驗人員
1.檢查、測試、或測量材料、產品、裝置，使之符合規格。
2.使用測量儀器（如：尺規或測微器等）測量產品的尺寸以符合規格。
3.分析及解釋藍圖、數據、手冊和其他材料，以確定規格、檢驗程序、測試程序、調整方法、檢定方法等。
4.收集或挑選樣本，以進行測試或作為模型使用。
5.分析、計算測驗數據，以確認測試結果。

ISO／品保人員
1.分析統計資料以及產品規格，以決定成品的品質標準。
2.協助品質系統推行，並進行系統的稽核，以確保品質系統實施的有效性。
3.協調品質管理之目標和活動，負責生產線產品之抽樣檢驗與測試，以解決產品品質問題。
4.執行、測試可靠度驗證，提升產品品質可靠度，進而將成本降至最低。
5.負責品質教育訓練計劃之擬定與執行。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}, {'Language': '日文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",Windows 10、Adobe Acrobat、Excel、PowerPoint、Project、Word、6 Sigma、ISO 14000、ISO 9000、ISO 45001、SPC、TS16949、鼎新,協助改善產品良率、提出生產標準改良方案、標準作業流程規劃、制訂新產品檢驗標準、原料及產品品質管制監控、產品驗證作業、進料問題處理、新產品與進出貨檢驗、零件供應商評鑑考核、供應商原物料異常分析處理、客戶服務品保程序規劃、負責產銷協調溝通、執行產品可靠度測試與問題分析、規劃並執行品質管理系統,"◆ 需會機械識圖。◆ 需可配合加班、吃苦耐勞者。
◆ 有行業相關豐富經驗者薪資可另談。
公司福利
◆ 1.員工退休保險儲備金。(員工不用支付現金；服務滿十五年退休金贈與員工；若中途離職，則該退休保險儲蓄金仍屬公司所有。)
◆ 獎金/禮品類： 1.年終獎金。 2.三節獎金/禮品。 3.生日禮金/禮品。
◆ 保險類： 1.勞保。 2.健保。 3.員工團保。 4.意外險。 5.職災保險。
◆ 休閒類： 1.國內旅遊。 2.國外旅遊。 3.部門聚餐。 4.社團活動。
◆ 制度類： 1.員工制服。 2.伙食費。 3.介紹獎金。 4.績效獎金。
6.完整的教育訓練。 7.順暢的升遷管道。
◆ 設備類： 1.員工餐廳。
◆ 請/休假制度： 1.特休/年假。(依政府機關規定)
◆ 其他： 1.員工健康檢查。
◆ 補助類： 1.結婚禮金。 2.生育津貼。 3.住院慰問金。 4.勞退提撥金。
◆證照類:只要具備其中1項即可,未來依據個人能力及績效表現決定升遷及調薪幅度 !",https://www.104.com.tw/job/70bec?jobsource=index_s
【工研院_中分院專案】智慧機械_軟體工程師,智聯服務股份有限公司,軟體工程師、資料工程師、韌體工程師,35000,南投縣南投市,"1. FANUC ROBOT 模擬、程式撰寫
2.配合自動化主控進行機械手臂通訊交握
3.協助自動化周邊設計繪製、發包、組裝與測試 
4.協助智慧工廠模擬系統建置
5.專案進度追蹤管理
6.協助專案模組設計繪製、發包、組裝與測試",不拘,不拘,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、資料庫程式設計,"1學士(含)以上畢業，
2資訊工程、機械工程相關、電機電子工程相關學系尤佳
3態度正向、邏輯能力佳、團隊合作能力尤佳
4福利依工研院專案",https://www.104.com.tw/job/887fx?jobsource=index_s
資料分析人員,久允工業股份有限公司,數據分析師、系統分析師、資料工程師,31635,南投縣南投市永興路19號,"1.負責公司資料的彙整、深入分析與應用。
2.配合需求製作各項EXCEL報表及圖表。
3.協助將數據資料做成分析介面提供相關單位進行運用。
4.其他主管交辦事項",不拘,VBA、Excel、PowerPoint、Word,報表彙整與管理、作業系統基本操作、文書處理軟體操作,"1. 對數據資料有敏感度、仔細及謹慎。
2. 擅長使用Excel函數、會撰寫VBA程式,並具Office應用能力。
3. 具資料處理及分析實務經驗尤佳。",https://www.104.com.tw/job/87h1b?jobsource=index_s
C++ server 後端軟體工程師 | Bigdata(可遠端)(南投),萊泀股份有限公司,軟體工程師、後端工程師、Internet程式設計師,90000,南投縣南投市東區新莊里新莊街129巷70弄1號,"【此職務的工作介紹】
作為C++軟體維護及開發人員，您將在一個友好的產品團隊中工作，負責所有後端開發及管理。這個獨特的角色讓您有機會大顯身手並成為團隊中很重要的一員。
您還將與我們的開發團隊和利益相關者一起負責項目，負責網站和應用程序的所有需求。

1. 數據收集應用相關程式開發與維護
2. 即時/歷史 統計演算及數據分析開發與維護
3. 前、後台系統網絡開發與維護
4. 導入LLM、AI進入系統
5. 跨部門需求溝通與確認
6. 整理和編寫技術文檔
7. 協作對象有前、後端工程師、設計師 、測試工程師、運維專家等一同合作

【職務條件】
1.有一定的C++開發經驗，會任一門指令碼語言(python或者shell）
2.理解多綫程等基礎架構，物件導向設計、瞭解其原理和實現機制
3.良好的Coding Style、程式模組化與功能化的架構設計、除維護外，若有程式碼重構經驗尤佳
4.若能根據業務需要採用不同架構設計標準化的微服務為加分項目
5.喜歡鑽研及解決問題，具有較強的責任心及團隊合作精神、偶有通靈的能力
6.有台灣券商、期貨商相關工作經驗優先聊聊

【這樣很加分】
1. 履歷中有各種參與過的專案經驗，讓我們可以更快速的認識你的能力與經驗。
2. 具備開發經驗也很可以！",不拘,Linux、Shell、Github、Git、C++,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,未填寫,https://www.104.com.tw/job/8bptk?jobsource=index_s
