職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
管理部（宜科）- 數據分析,立達國際電子股份有限公司,數據分析師、資料工程師、軟體工程師,55000,宜蘭縣宜蘭市宜科南路15號3樓之8,"職位類別A - 電商運營數據分析師
1. 對店商高成長有熱忱
2. 對店商實務超作有耐心
3. 有資料處理分析能力
4. 能判斷廣告投放對銷量產生之效益
5. 針對產業對手價格分析，做出動態價格回應","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",鼎新,不拘,未填寫,https://www.104.com.tw/job/851th?jobsource=index_s
工地助理,川湯春天溫泉酒店股份有限公司,工務人員／助理、助理工程師,33000,宜蘭縣三星鄉,"家福春天建設

工作地點：宜蘭三星／花蓮市

工務人員／助理
1. 負責工地現場監工、人員調派、工程分包安排及業務處理。
2. 配合工程預算，製作發包標單及圖說整理。
3. 協助丈量尺寸，繪圖，核對圖面資料，並負責圖檔管理。
4. 負責各項行政庶務工作（如：合約製作、檔案管理、報價、請款與預算控管）。
5. 負責接聽電話及訪客接待。
6. 協助工地物料管理（如：進貨驗收、庫存盤點）。
7. 聯繫廠商並追蹤修繕進度。

助理工程師
1. 提出關於操作方法、原料處理、設備裝設等的修正方案，以增加產量或改善流程。
2. 研究生產、操作相關的時間、行動、方法，以建立標準生產率與改進效能。
3. 解釋工程圖、草圖或準則，並與經理或工程人員商談，以決定品質和可靠性的標準。
4. 提出對現有品質或生產標準的改良方案，以達到在設備性能限制下的最佳品質。
5. 根據作業員表現、機器容量、生產日程和工程進度來協助工作的分配。
6. 準備並利用圖表來說明工作流程、樓層佈局、原料處理和機器使用。
7. 評估數據及書寫報告，以確認或顯示與現有標準之間的差異。
8. 閱讀工作日誌、產品處理程序和說明書，以確認工作記錄符合品質管理細則。",不拘,不拘,不拘,未填寫,https://www.104.com.tw/job/7rhdg?jobsource=index_s
品管工程師（日班）（宜蘭冬山）,潤泰精密材料股份有限公司,品管／檢驗人員、品管／品保工程師、助理工程師,34000,宜蘭縣冬山鄉(依照公司規定分派),"1.原料製程檢驗等相關作業。
2.實驗數據分析等相關作業。
(無經驗可從助理工程師開始培訓)",不拘,Excel、Word,不拘,"1.具品管相關工作經驗佳
2.能獨立作業.積極主動.
3.非相關科系可

**身份不拘, 歡迎身心障礙者投遞履歷**",https://www.104.com.tw/job/8bc6u?jobsource=index_s
C++ server 後端軟體工程師 | Bigdata(可遠端)(宜蘭),萊泀股份有限公司,軟體工程師、後端工程師、Internet程式設計師,90000,宜蘭縣宜蘭市東區新莊里新莊街129巷70弄1號,"【此職務的工作介紹】
作為C++軟體維護及開發人員，您將在一個友好的產品團隊中工作，負責所有後端開發及管理。這個獨特的角色讓您有機會大顯身手並成為團隊中很重要的一員。
您還將與我們的開發團隊和利益相關者一起負責項目，負責網站和應用程序的所有需求。

1. 數據收集應用相關程式開發與維護
2. 即時/歷史 統計演算及數據分析開發與維護
3. 前、後台系統網絡開發與維護
4. 導入LLM、AI進入系統
5. 跨部門需求溝通與確認
6. 整理和編寫技術文檔
7. 協作對象有前、後端工程師、設計師 、測試工程師、運維專家等一同合作

【職務條件】
1.有一定的C++開發經驗，會任一門指令碼語言(python或者shell）
2.理解多綫程等基礎架構，物件導向設計、瞭解其原理和實現機制
3.良好的Coding Style、程式模組化與功能化的架構設計、除維護外，若有程式碼重構經驗尤佳
4.若能根據業務需要採用不同架構設計標準化的微服務為加分項目
5.喜歡鑽研及解決問題，具有較強的責任心及團隊合作精神、偶有通靈的能力
6.有台灣券商、期貨商相關工作經驗優先聊聊

【這樣很加分】
1. 履歷中有各種參與過的專案經驗，讓我們可以更快速的認識你的能力與經驗。
2. 具備開發經驗也很可以！",不拘,Linux、Shell、Github、Git、C++,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,未填寫,https://www.104.com.tw/job/8bptb?jobsource=index_s
