職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
自動化小組-程式開發工程師『視訊面談』,正新橡膠工業股份有限公司,後端工程師、軟體工程師、資料工程師,41000,彰化縣大村鄉黃厝村美港路215號,"主要負責新專案開發自動量測系統，外部檢測新專案導入，包括專案需求分析、方案評估、製作項目計劃，檢測系統的監控設備整合。
1.CCD與雷射檢測設備測量開發
2.質檢系統的監控設備整合
3.生產數據解決方案設計
4.生產數據分析應用

技術需求：
※有撰寫 C# / C++/ VB/VB.net /MySQL相關經驗尤佳",不拘,C#、C++、Visual Basic、Visual Basic .net、MySQL,不拘,未填寫,https://www.104.com.tw/job/85nsr?jobsource=index_s
《品保部》進料檢驗工程師,繼茂橡膠工業股份有限公司,品管／檢驗人員、品管／品保工程師,33000,彰化縣鹿港鎮工業東四路15號,"✎Gmors品管進料檢驗工程師工作內容：
1.膠料交接收檢驗。
2.膠料打製作成。
3.品質資料收集、分析。
4.產線異常數據追蹤。

✎Gmors可以給您工作價值：
1.完整教育訓練制度。
2.具競爭力薪酬且穩健制度 。 
3.提供營養膳食，不用為準備伙食煩惱。
4.多元活動參與，凝聚同仁間向心力。
5.友善員工福利，創造歸屬感。
6.免費宿舍，免除遠距同仁舟車勞頓。
7.透明晉升制度，公平、公正、公開的競爭機制。",不拘,不拘,不拘,未填寫,https://www.104.com.tw/job/8d2mt?jobsource=index_s
C++ server 後端軟體工程師 | Bigdata(可遠端)(彰化),萊泀股份有限公司,軟體工程師、後端工程師、Internet程式設計師,90000,彰化縣彰化市東區新莊里新莊街129巷70弄1號,"【此職務的工作介紹】
作為C++軟體維護及開發人員，您將在一個友好的產品團隊中工作，負責所有後端開發及管理。這個獨特的角色讓您有機會大顯身手並成為團隊中很重要的一員。
您還將與我們的開發團隊和利益相關者一起負責項目，負責網站和應用程序的所有需求。

1. 數據收集應用相關程式開發與維護
2. 即時/歷史 統計演算及數據分析開發與維護
3. 前、後台系統網絡開發與維護
4. 導入LLM、AI進入系統
5. 跨部門需求溝通與確認
6. 整理和編寫技術文檔
7. 協作對象有前、後端工程師、設計師 、測試工程師、運維專家等一同合作

【職務條件】
1.有一定的C++開發經驗，會任一門指令碼語言(python或者shell）
2.理解多綫程等基礎架構，物件導向設計、瞭解其原理和實現機制
3.良好的Coding Style、程式模組化與功能化的架構設計、除維護外，若有程式碼重構經驗尤佳
4.若能根據業務需要採用不同架構設計標準化的微服務為加分項目
5.喜歡鑽研及解決問題，具有較強的責任心及團隊合作精神、偶有通靈的能力
6.有台灣券商、期貨商相關工作經驗優先聊聊

【這樣很加分】
1. 履歷中有各種參與過的專案經驗，讓我們可以更快速的認識你的能力與經驗。
2. 具備開發經驗也很可以！",不拘,Linux、Shell、Github、Git、C++,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,未填寫,https://www.104.com.tw/job/8bptj?jobsource=index_s
品管工程師,台塑_臺灣塑膠工業股份有限公司,品管／品保工程師,40000,彰化縣鹿港鎮永安路168巷168號,"職務類別：品管工程師
學歷要求：學士(含)以上學歷畢
科系要求：理工、工工等相關系所
語文條件：多益成績400分以上或具相關能力證明者(托福、雅思、全民英檢等)
相關經驗：具備ISO9001、IATF16949認證經驗尤佳
電腦技能/證照：Office
出差外派：須配合任務出差
工作內容：1.原物料進料檢驗管制標準訂定及檢驗數據統計分析。
2.生產品質管制標準訂定及檢驗數據統計分析。
3.生產品質管理系統推動與維護。
4.客戶異常反應追蹤。

意者請至台塑企業人才招募網站 https://hr.fpg.com.tw 登錄履歷，合者約試，不合者恕不通知。",不拘,不拘,不拘,未填寫,https://www.104.com.tw/job/7wxjk?jobsource=index_s
品管工程師,台塑新智能科技股份有限公司,品管／品保工程師,40000,彰化縣鹿港鎮,"職務類別：品管工程師
學歷要求：學士以上日間部畢業
科系要求：理工、工業工程等相關科系
語文條件：多益成績400分以上或具相關能力證明者(托福、雅思、全民英檢等)
相關經驗：具備ISO9001、IATF16949認證經驗尤佳
電腦技能/證照：Office
專業技能/證照：不拘
出差外派：須配合任務出差
上班時段：日班
休假制度：依公司規定
薪資待遇：依公司規定

工作內容：
1.原物料進料檢驗管制標準訂定及檢驗數據統計分析。
2.生產品質管制標準訂定及檢驗數據統計分析。
3.生產品質管理系統推動與維護。
4.客戶異常反應追蹤。

地點:彰濱工業區-崙尾",不拘,Excel、PowerPoint、Word,不拘,未填寫,https://www.104.com.tw/job/7wxos?jobsource=index_s
