職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
數據分析師 Data analyst,偉詳工業股份有限公司,數據分析師、軟體工程師,40000,嘉義縣民雄鄉中興一街6號,"【工作需求】
熟悉Python。
熟悉C# 語言。
理解關聯式資料庫之架構，能編寫基本SQL語法。
具備機器學習、深度學習等技術相關使用經驗。

【工作內容】
透過C#以及相關CNC套件，建立能獲取機器參數之應用程式。
與同事幹部討論可能的預測目標
深入分析影響預測目標，並找出可能造成影響的特徵。
成為公司與外部合作者對於數據分析專案的橋樑。","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '精通', 'Write': '略懂'}]",不拘,軟體工程系統開發、軟體程式設計,"• 有實際使用過任意機器學習模型以及深度學習模型。
• 具備機器學習、深度學習或統計等相關知識並能將其與應用結合。 
• 熟悉Python並且瞭解Keras或PyTorch。",https://www.104.com.tw/job/8azof?jobsource=index_s
SEO 內容文案 SEO Content Writer（嘉義）,阿物科技股份有限公司,網站行銷企劃、廣告文案／企劃、文編／校對／文字工作者,32500,嘉義市嘉義市西區中山路616號,"矽谷獨角獸企業家投資，台灣成長最快的 SaaS MarTech Solution

台灣 MarTech 領導品牌 awoo 結合 AI 人工智慧，是台灣成長最快速的 SaaS（Software as a Service）MarTech Solution。2017年獲得種子輪融資，2020年完成 A 輪募資，獲得多位矽谷企業家投資，是台灣極少數獲得矽谷資源挹注的新創團隊，2021 在日本市場站穩腳步，獲得眾多日本品牌客戶支持。未來我們將積極從台灣、日本逐步推向全球，重新描繪海島小國以軟體航向世界的新路線。

我們正在尋找熱愛文字創作、富有聯想力，對於團隊溝通不陌生的夥伴！

SEO 內容文案描述：
- SEO 內容文案（SEO Content Writer）負責從「關鍵字」來理解搜尋者行為及意圖，並將「關鍵字策略」落實到網站內容。
- awoo 的文字內容行銷訴求在：可以被發掘（discover）、可以連結讀者情感（engagement）、可以達成轉換目標（conversion）、可以造成傳播（share）。 
- 所以每個 awoo 的內容文案會與 SEO 工程師、成效優化專家密切合作，創作出「理性與感性兼容」、「目標鮮明精確」的文字作品，這是 SEO 內容文案的挑戰，也是樂趣所在。

SEO Content Writer 詳細的工作內容：
- 對各行各業保持好奇
- 與 SEO 工程師討論關鍵字策略、內容規劃
- 與客戶溝通文章大綱
- 實際執行撰寫文章、文筆通順
- 邏輯性強、個性積極主動、細心，具備責任感與團隊合作精神，勇於挑戰新事物。
- 與成效優化專家了解網頁行為數據、關鍵字排名等等指標

SEO Content Writer 職位需要：
- 平常喜歡（不排斥）接觸各類資訊，不侷限自己的領域，對於新資訊可以快速吸收，統整。
- 具有聯想力和洞察力，思考線路清晰。
- 有相關的文字經驗，希望有自己的作品集。

＊面試前小測試提醒：面試前會有一個小題目讓面試者寫寫看喔！","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Google Analytics,社群媒體經營管理、廣告企劃案╱文案撰寫,"如果你有以下經驗，那就大大加分囉：
- 熟悉化妝品、保養品、保健食品等相關產業，有相關背景知識
- 懂得金融理財投資相關
- 英文專長撰寫能力",https://www.104.com.tw/job/6e4wn?jobsource=index_s
系統設備工程師,台灣國際網域股份有限公司,系統工程師、網路管理工程師、資訊設備管制人員,40000,嘉義市保福里八德路317號4樓,"我們誠摯地邀請您加入我們的團隊，成為一名出色的系統設備工程師。
我們是一家具有追求大數據ai網路自動化領域的企業，專注於建置穩健且高效的網絡基礎架構。如果您具備以下專業技能，我們期待您成為我們的核心成員：

作為我們的系統設備工程師，您將在關鍵的技術環節中扮演關鍵角色，確保我們的網路和系統運作穩定順暢。以下是您將參與的工作內容：

熟悉並能夠維護 Red Hat Enterprise Linux 或相容版本，如CentOS、Rocky Linux等，確保系統的穩定性。
- 具備 Windows 作業系統的安裝、故障排除能力，維持系統運作的可靠性。
- 熟練處理 Cisco 相關的網路設備架設和管理，確保公司網路的效能和安全性。
- 具備 DNS、FTP、Mail等伺服器的架設和管理能力，確保關鍵服務的正常運行。
- 負責維護電腦系統的效能，積極進行問題排除，確保系統運作順暢。
- 詳細記錄各系統的維護和異動資訊，保證系統管理的透明性。
- 參與軟、硬體和其他周邊設備的安裝和維修工作，確保設備的正常運轉。

**工作內容：**
您將參與以下核心任務，確保我們的網路和系統保持最佳狀態：

1. 協助部署、管理和維護公司的網路系統和資料備份。
2. 負責機房網路設備和伺服器的架設管理，確保資安措施，處理問題排除。
3. 參與網站系統的需求分析、設計、開發、維護(LAMP)以及整合第三方API。

如果您渴望在一個充滿挑戰與機會的環境中發展，我們期待您的加入，與我們一同打造出優秀的網路系統！",不拘,Cisco、FTP,不拘,"**我們期待您具備以下技能尤佳：**

- 瞭解 TCP、HTTP/HTTPS等網路協議，確保網路的穩定運行。
- 精通 LAMP（Apache、PHP、MySQL）技術，並能夠進行性能優化。
- 具備 HTML、Javascript、AJAX、CSS等前端技能，確保網站界面的優質體驗。
- 具有優異的邏輯思考能力，並擁有卓越的溝通技能，能夠在團隊中有效合作解決問題。
- 具有設備維修和網路管理經驗，同時能夠運用科技工具提高效率。",https://www.104.com.tw/job/85c5c?jobsource=index_s
C++ server 後端軟體工程師 | Bigdata(可遠端)(嘉義),萊泀股份有限公司,軟體工程師、後端工程師、Internet程式設計師,90000,嘉義市東區新莊里新莊街129巷70弄1號,"【此職務的工作介紹】
作為C++軟體維護及開發人員，您將在一個友好的產品團隊中工作，負責所有後端開發及管理。這個獨特的角色讓您有機會大顯身手並成為團隊中很重要的一員。
您還將與我們的開發團隊和利益相關者一起負責項目，負責網站和應用程序的所有需求。

1. 數據收集應用相關程式開發與維護
2. 即時/歷史 統計演算及數據分析開發與維護
3. 前、後台系統網絡開發與維護
4. 導入LLM、AI進入系統
5. 跨部門需求溝通與確認
6. 整理和編寫技術文檔
7. 協作對象有前、後端工程師、設計師 、測試工程師、運維專家等一同合作

【職務條件】
1.有一定的C++開發經驗，會任一門指令碼語言(python或者shell）
2.理解多綫程等基礎架構，物件導向設計、瞭解其原理和實現機制
3.良好的Coding Style、程式模組化與功能化的架構設計、除維護外，若有程式碼重構經驗尤佳
4.若能根據業務需要採用不同架構設計標準化的微服務為加分項目
5.喜歡鑽研及解決問題，具有較強的責任心及團隊合作精神、偶有通靈的能力
6.有台灣券商、期貨商相關工作經驗優先聊聊

【這樣很加分】
1. 履歷中有各種參與過的專案經驗，讓我們可以更快速的認識你的能力與經驗。
2. 具備開發經驗也很可以！",不拘,Linux、Shell、Github、Git、C++,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,未填寫,https://www.104.com.tw/job/8bptm?jobsource=index_s
MIS網管工程師,台灣國際網域股份有限公司,系統工程師、網路管理工程師、MIS程式設計師,40000,嘉義市保福里八德路317號4樓,"我們誠摯地邀請您加入我們的團隊，成為一名出色的MIS網管工程師。
我們是一家具有追求大數據ai網路自動化領域的企業，專注於建置穩健且高效的網絡基礎架構。如果您具備以下專業技能，我們期待您成為我們的核心成員：

作為我們的網管系統工程師，您將在關鍵的技術環節中扮演關鍵角色，確保我們的網路和系統運作穩定順暢。以下是您將參與的工作內容：

- 熟悉並能夠維護 Red Hat Enterprise Linux 或相容版本，如CentOS、Rocky Linux等，確保系統的穩定性。
- 具備 Windows 作業系統的安裝、故障排除能力，維持系統運作的可靠性。
- 熟練處理 Cisco 相關的網路設備架設和管理，確保公司網路的效能和安全性。
- 具備 DNS、FTP、Mail等伺服器的架設和管理能力，確保關鍵服務的正常運行。
- 負責維護電腦系統的效能，積極進行問題排除，確保系統運作順暢。
- 詳細記錄各系統的維護和異動資訊，保證系統管理的透明性。
- 參與軟、硬體和其他周邊設備的安裝和維修工作，確保設備的正常運轉。

**工作內容：**
您將參與以下核心任務，確保我們的網路和系統保持最佳狀態：

1. 協助部署、管理和維護公司的網路系統和資料備份。
2. 負責機房網路設備和伺服器的架設管理，確保資安措施，處理問題排除。
3. 參與網站系統的需求分析、設計、開發、維護(LAMP)以及整合第三方API。

如果您渴望在一個充滿挑戰與機會的環境中發展，我們期待您的加入，與我們一同打造出優秀的網路系統！",不拘,Cisco、FTP,不拘,"**我們期待您具備以下技能尤佳：**

- 瞭解 TCP、HTTP/HTTPS等網路協議，確保網路的穩定運行。
- 精通 LAMP（Apache、PHP、MySQL）技術，並能夠進行性能優化。
- 具備 HTML、Javascript、AJAX、CSS等前端技能，確保網站界面的優質體驗。
- 具有優異的邏輯思考能力，並擁有卓越的溝通技能，能夠在團隊中有效合作解決問題。
- 具有設備維修和網路管理經驗，同時能夠運用科技工具提高效率。",https://www.104.com.tw/job/832an?jobsource=index_s
網路設備工程師,台灣國際網域股份有限公司,系統工程師、網路管理工程師、資訊設備管制人員,40000,嘉義市保福里八德路317號4樓,"我們誠摯地邀請您加入我們的團隊，成為一名出色的網路設備工程師。
我們是一家具有追求大數據ai網路自動化領域的企業，專注於建置穩健且高效的網絡基礎架構。如果您具備以下專業技能，我們期待您成為我們的核心成員：

作為我們的網路設備工程師，您將在關鍵的技術環節中扮演關鍵角色，確保我們的網路和系統運作穩定順暢。以下是您將參與的工作內容：

- 熟練處理 Cisco 相關的網路設備架設和管理，確保公司網路的效能和安全性。


**工作內容：**
您將參與以下核心任務，確保我們的網路和系統保持最佳狀態：

1. 協助部署、管理和維護公司的網路系統和資料備份。
2. 負責機房網路設備和伺服器的架設管理，確保資安措施，處理問題排除。
3. 參與網站系統的需求分析、設計、開發、維護(LAMP)以及整合第三方API。

如果您渴望在一個充滿挑戰與機會的環境中發展，我們期待您的加入，與我們一同打造出優秀的網路系統！",不拘,Cisco、FTP,不拘,"**我們期待您具備以下技能尤佳：**

- 瞭解 TCP、HTTP/HTTPS等網路協議，確保網路的穩定運行。
- 精通 LAMP（Apache、PHP、MySQL）技術，並能夠進行性能優化。
- 具備 HTML、Javascript、AJAX、CSS等前端技能，確保網站界面的優質體驗。
- 具有優異的邏輯思考能力，並擁有卓越的溝通技能，能夠在團隊中有效合作解決問題。
- 具有設備維修和網路管理經驗，同時能夠運用科技工具提高效率。",https://www.104.com.tw/job/85c56?jobsource=index_s
