職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
數據分析工程師-屏東枋寮,長興材料工業股份有限公司,演算法工程師、軟體工程師、MIS程式設計師,40000,屏東縣枋寮鄉(依照公司規定分派),"1.數據分析、特徵擷取。
2.機器學習/深度學習演算法開發。
3.維護大數據平台與數據決策平台。
4.組織交辦事項。

4.組織交辦事項。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python,不拘,"1.具數據分析及python軟體及機器學習/深度學習演算法相關經驗2年以上
2.熟悉數據分析技能。
3.具備機器學習與深度學習應用開發經驗
4.熟悉Python程式語言框架，如Tensorflow,Keras等。
5.具工作溝通&協調能力
6.如有該職缺相關經驗多年者，薪資從優認定。",https://www.104.com.tw/job/6o5g9?jobsource=index_s
2024 暑期實習生 (約聘) - 屏東農科園區【磐石中心】,"大江生醫股份有限公司(TCI CO., Ltd)",工讀生、生物科技研發人員、作業員／包裝員,27470,屏東縣長治鄉,"<< 請申請實習的同學注意 >>
 
1. 實習之專案、培訓內容會視實習生背景與條件調整分配。
2. 實習分配之部門將會盡量參考志願，但分配部門依據實際情況而定。

<<2024 年大江生醫實習計畫>>
實習時間：2024/7/1-2024/8/23
上班時間：周一至周五，9:00-18:00 (包含午休1小時)

【工作說明】
實習生將依據相關背景與經驗，分配實習單位；以下為參考性質。


【品保實習生】
協助品保工程師進行產品取樣及整理報告。
執行並落實QA管理制度及品質相關專案執行

【檢驗實習生】
協助工程師執行產品化學、微生物檢驗。
落實QA管理制度及品質管制任務。

【發酵、萃取實習生】
依標準作業流程執行，生產設備操作。
產線品質管控/生產數據統計記錄分析/生產製程改善。

【產線實習生】
產線實地實習，進入產線學習實際充填、調配、包裝經驗與專業知識。
執行5S工廠標準之SOP。

【廠務實習生】
協助工程師，進行電機設備生產、裝設、使用、保養及維修工作。

【QODM實驗室實習生】
保健食品、面膜生產與基本包裝檢查、數據整理。
依照檢驗標準執行生產製程物理性檢驗、協助產品基礎打樣。
按照實驗程序進行檢測操作。

# 具備責任感、細心、積極主動、誠實與樂觀的工作態度


【大江全球佈局】
大江生醫2018年營收高度成長，外銷佈局全世界已銷售至54個國家。展望未來，我們將朝三個方向快速推進，其一，就是業務在國際市場持續發展！

那要如何快速持續發展呢？就是不斷地找尋業務，因為人在事前，而人就要仰賴人資招募同仁以精準的眼光快速朝聘！大江自2017年起，陸續在印尼、日本、美國設立分公司，深耕海外當地市場，今年更預計將在下半年度成立歐洲分公司，成為日不落的大江，24小時都有大江人在全球為加入並改善消費者生活努力不懈！

【完整的訓練藍圖】
提供豐富精闢的新人訓、由內到外的細心呵護的雙導師制，不定時安排專業外部講師授課，如：談判技巧、理想的招募等課程，讓我們能在職場中不斷精進，持續學習並解決問題。

也會定時安排內部專業講師針對產品學、法律學、營養學等專業課程進行解說，招募就是要知其所以然，所以這些內部課程也能讓我們更加精進，知道各部門的專業，更加精準捕獲我們所需的專業人才。


# 大江生醫8436
# 加入大江打世界盃
# 世界第一",不拘,不拘,不拘,未填寫,https://www.104.com.tw/job/7zde8?jobsource=index_s
C++ server 後端軟體工程師 | Bigdata(可遠端)(屏東),萊泀股份有限公司,軟體工程師、後端工程師、Internet程式設計師,90000,屏東縣屏東市東區新莊里新莊街129巷70弄1號,"【此職務的工作介紹】
作為C++軟體維護及開發人員，您將在一個友好的產品團隊中工作，負責所有後端開發及管理。這個獨特的角色讓您有機會大顯身手並成為團隊中很重要的一員。
您還將與我們的開發團隊和利益相關者一起負責項目，負責網站和應用程序的所有需求。

1. 數據收集應用相關程式開發與維護
2. 即時/歷史 統計演算及數據分析開發與維護
3. 前、後台系統網絡開發與維護
4. 導入LLM、AI進入系統
5. 跨部門需求溝通與確認
6. 整理和編寫技術文檔
7. 協作對象有前、後端工程師、設計師 、測試工程師、運維專家等一同合作

【職務條件】
1.有一定的C++開發經驗，會任一門指令碼語言(python或者shell）
2.理解多綫程等基礎架構，物件導向設計、瞭解其原理和實現機制
3.良好的Coding Style、程式模組化與功能化的架構設計、除維護外，若有程式碼重構經驗尤佳
4.若能根據業務需要採用不同架構設計標準化的微服務為加分項目
5.喜歡鑽研及解決問題，具有較強的責任心及團隊合作精神、偶有通靈的能力
6.有台灣券商、期貨商相關工作經驗優先聊聊

【這樣很加分】
1. 履歷中有各種參與過的專案經驗，讓我們可以更快速的認識你的能力與經驗。
2. 具備開發經驗也很可以！",不拘,Linux、Shell、Github、Git、C++,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,未填寫,https://www.104.com.tw/job/8bptw?jobsource=index_s
能源系統資訊部_高級工程師(AFC),元晶太陽能科技股份有限公司,Internet程式設計師、軟體工程師、MIS程式設計師,40000,屏東縣屏東市大溪路335之12號,"1.EMS安裝、測試與驗收
2.資料庫系統維護作業
3.儲能系統報表製作與資料分析
4.消防/環境監測系統復歸
5.防災演練/緊急應變工作
6.參與日前市場投標作業
7.IEC61850通訊監測/問題排除
8.網路/主機設備日常維護
9.儲能系統日常監控
10.應付緊急應變任務 ","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Java、Spring、jQuery,軟體工程系統開發、軟體程式設計,"1.熟悉HTTP, HTML5, CSS3, AJAX, DOM, JSON, XML, jQuery, Bootstrap及RWD
2.具 Restful API 後端串接經驗，並能夠與後端工程師溝通與測試
3.具Spring MVC 及相關Framework經驗
4.具使用過數據庫相關技術(SQL)
5.使用過專案管理軟體如：ant、maven、subversion、github
6.能與後端開發團隊探討相關開發技術架構
7.能獨立作業處理程式問題
8.能配合學習新技術與應用
9.開發和維護物聯網網絡的Web應用程式經驗->加分
10.多元裝置Web開發經驗->加分",https://www.104.com.tw/job/6l1nw?jobsource=index_s
