職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
C++ server 後端軟體工程師 | Bigdata(可遠端)(基隆),萊泀股份有限公司,軟體工程師、後端工程師、Internet程式設計師,90000,基隆市仁愛區東區新莊里新莊街129巷70弄1號,"【此職務的工作介紹】
作為C++軟體維護及開發人員，您將在一個友好的產品團隊中工作，負責所有後端開發及管理。這個獨特的角色讓您有機會大顯身手並成為團隊中很重要的一員。
您還將與我們的開發團隊和利益相關者一起負責項目，負責網站和應用程序的所有需求。

1. 數據收集應用相關程式開發與維護
2. 即時/歷史 統計演算及數據分析開發與維護
3. 前、後台系統網絡開發與維護
4. 導入LLM、AI進入系統
5. 跨部門需求溝通與確認
6. 整理和編寫技術文檔
7. 協作對象有前、後端工程師、設計師 、測試工程師、運維專家等一同合作

【職務條件】
1.有一定的C++開發經驗，會任一門指令碼語言(python或者shell）
2.理解多綫程等基礎架構，物件導向設計、瞭解其原理和實現機制
3.良好的Coding Style、程式模組化與功能化的架構設計、除維護外，若有程式碼重構經驗尤佳
4.若能根據業務需要採用不同架構設計標準化的微服務為加分項目
5.喜歡鑽研及解決問題，具有較強的責任心及團隊合作精神、偶有通靈的能力
6.有台灣券商、期貨商相關工作經驗優先聊聊

【這樣很加分】
1. 履歷中有各種參與過的專案經驗，讓我們可以更快速的認識你的能力與經驗。
2. 具備開發經驗也很可以！",不拘,Linux、Shell、Github、Git、C++,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,未填寫,https://www.104.com.tw/job/8bptc?jobsource=index_s
環境整治工程師(總部)AA001,新野科技股份有限公司,環境工程人員 / 工程師、安全／衛生相關檢驗人員、工地監工／主任,44250,基隆市七堵區八德路17巷29號,"我們是一家環境污染整治工程公司，專長土地整治工程，屬於專業營造業。目前有許多專案等著我們處理，營運團隊正在擴編中，因此需增加新的好夥伴跟我們一起打拼，可參考本公司網站多了解這個行業。公司地址位於深坑園區，臨近汐止，南港，木柵，新店，信義區，大安區都有公車與捷運搭乘方便抵達，想要成為環境保護的工程技術尖兵嗎？歡迎與我們聯絡。

一.工作內容：
1.驗收、監測、系統操作保養與表單紀錄
2.樣本採取、污染檢測、數據搜集彙整與成效分析
3.工作場所規劃、協調，環境污染防治作業
4.學習設備系統初階維護、故障排除
5.工地巡視、檢查、危害通識及作業檢點
*分項工程現場指揮;控管施工進度與品質。
*執行施工;達成進度與品質要求。
*負責現場施工進度及管理。

二.工作條件
1.自主管理要求高
2.有責任感不推諉
3.配合團隊協作共同努力
4.能接受戶外工地工作型態
5.不排斥短期差旅及加班(含假日)
6.配合職安法各項安全管理規定

三.工作願景
1.無經驗者，只要你肯學，在新野我們也會讓你有一技之長。
2.工作穩定，升遷管道暢通。
3.當工程師不是夢，從現場到專案，我們都會協助你成長。 
4.歡迎加入愛地球行列，讓口號化為實際行動！
5.工作有完整學習地圖，只要願意學習，待遇不會在原地。

四.薪資條件：
1.出差另有補貼，不在薪資範圍內。
2.薪資依工作經驗.學校科系.相關證照有所不同。
3.具備安全衛生管理員證書、工地主任證書等資格者另有證照津貼。

@具備職業安全衛生管理員(乙級)與工地主任/主管經驗或擋土支撐、露天開挖、水電證照 
    優先面試。
@能獨立開車者(汽車駕照）優先面試。
@理工科系尤佳。

交通資訊
1.大安區、信義區、南港區十五分鐘車程內
2.木柵捷運站轉公車:251, 660, 666, 679, 795, 819,等多班公車可達草地尾站
3.動物園捷運站轉公車:236可達草地尾站
4.市政府捷運站轉公車:912可達草地尾站
5.大安活動中心公車：949可達草地尾站",不拘,不拘,不拘,未填寫,https://www.104.com.tw/job/7gq1v?jobsource=index_s
