職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
【運轉操作部】工程師(輪三班) ※宜花通勤者可享通勤費用補助 ※外縣市者備有宿舍,和平電力股份有限公司,電機技師／工程師、機械工程師、電子工程師,41000,花蓮縣秀林鄉和平村和工二路7號,"1.從控制盤提供之各項數據監察機組之運轉狀況，必要時採取適度之調整。
2.妥善紀錄每一主要操作之工作項目於值班日誌內。
3.不定期地至現場巡檢以保持對機組之實際情況瞭解。
4.與現場督導工程師輪調工作，並參與隔離設備以準備發放工作許可證。
5.與中控室內之其他人員保持良好溝通，使整個發電廠之操作得以相輔相成之狀態下運轉。
6.接受並積極參與各項訓練課程，包括模擬機之訓練及複習課程。
7.按值班主管安排，協助領導運轉操作人員執行指定工作。
8.須配合輪班(四班三輪)。","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '中等', 'Write': '略懂'}]",不拘,不拘,"1.曾於大型燃煤電廠或汽電共生廠擔任值班工程師三年。

* (宜花通勤者享有通勤補助/運轉人員提供免費宿舍) *",https://www.104.com.tw/job/3v6sm?jobsource=index_s
【運轉操作部】技術員(輪三班) ※宜花通勤者可享通勤費用補助 ※外縣市者備有宿舍,和平電力股份有限公司,電機工程技術員、鍋爐操作技術人員、其他機械操作員,37500,花蓮縣秀林鄉和平村和工二路7號,"1. 巡檢機組各項設備及系統之運轉狀況。
2. 確實及清楚填報各自動檢查表格所需之資料。
3. 按控制室之要求，在現場執行操作各項設備。
4. 執行設備保養及安健環工作。
5. 協助監督清潔工之工作進度及情況。
6. 從控制盤提供之各項數據監察機組之運轉狀況，協助中控工程師採取適度之調整行動。
7. 協助工程師處理緊急事故。
8. 按值班經理或組長之編排，執行現場或控制室內工作。","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",不拘,不拘,"1. 有一年以上機械或電機維修經驗者佳。
2. 具堆高機、起重機、侷限空間作業等相關證照者佳。

* (宜花通勤者享有通勤補助/運轉人員提供免費宿舍) *",https://www.104.com.tw/job/2sooq?jobsource=index_s
【輸儲機運部】技術員 ※宜花通勤者可享通勤費用補助 ※外縣市者備有宿舍,和平電力股份有限公司,其他機械操作員,35000,花蓮縣秀林鄉和平村和工二路7號,"1. 巡檢機組各項設備及系統之運轉狀況。
2. 確實及清楚填報各自動檢查表格所需資料。
3. 按控制室之要求，在現場執行操作各項設備。
4. 執行設備保養及安健環工作。
5. 從控制盤提供各項數據監察機組之運轉狀況，協助工程師採取適當之調整行動。
6. 協助工程師處理緊急事故，執行現場或控制室內工作。
7. 執行部門主管所交辦任務。
8. 須配合輪班。",不拘,不拘,不拘,1. 具堆高機、起重機、局限空間作業等相關證照者佳。,https://www.104.com.tw/job/7hc4w?jobsource=index_s
C++ server 後端軟體工程師 | Bigdata(可遠端)(花蓮),萊泀股份有限公司,軟體工程師、後端工程師、Internet程式設計師,90000,花蓮縣花蓮市東區新莊里新莊街129巷70弄1號,"【此職務的工作介紹】
作為C++軟體維護及開發人員，您將在一個友好的產品團隊中工作，負責所有後端開發及管理。這個獨特的角色讓您有機會大顯身手並成為團隊中很重要的一員。
您還將與我們的開發團隊和利益相關者一起負責項目，負責網站和應用程序的所有需求。

1. 數據收集應用相關程式開發與維護
2. 即時/歷史 統計演算及數據分析開發與維護
3. 前、後台系統網絡開發與維護
4. 導入LLM、AI進入系統
5. 跨部門需求溝通與確認
6. 整理和編寫技術文檔
7. 協作對象有前、後端工程師、設計師 、測試工程師、運維專家等一同合作

【職務條件】
1.有一定的C++開發經驗，會任一門指令碼語言(python或者shell）
2.理解多綫程等基礎架構，物件導向設計、瞭解其原理和實現機制
3.良好的Coding Style、程式模組化與功能化的架構設計、除維護外，若有程式碼重構經驗尤佳
4.若能根據業務需要採用不同架構設計標準化的微服務為加分項目
5.喜歡鑽研及解決問題，具有較強的責任心及團隊合作精神、偶有通靈的能力
6.有台灣券商、期貨商相關工作經驗優先聊聊

【這樣很加分】
1. 履歷中有各種參與過的專案經驗，讓我們可以更快速的認識你的能力與經驗。
2. 具備開發經驗也很可以！",不拘,Linux、Shell、Github、Git、C++,系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,未填寫,https://www.104.com.tw/job/8bpty?jobsource=index_s
